acct,txn_count,total_amt_twd,avg_amt_twd,max_amt_twd,amt_twd_std,big_amt_count_twd,incoming_count,outgoing_count,incoming_amt_twd_sum,outgoing_amt_twd_sum,incoming_outgoing_ratio,hour_mean,night_ratio,interarrival_days_mean,interarrival_days_std,txn_count_7d,amt_twd_sum_7d,txn_count_30d,amt_twd_sum_30d,txn_count_90d,amt_twd_sum_90d,unique_channel,channel_type_mode,unique_counterparty,self_txn_ratio,ratio_twd,ratio_usd,ratio_other
683d4348264eb852e7b3a2b8801b9bf64747f072a759de4d7a6c9a56eac01d99,790,67322470.0,85218.3164556962,1818000.0,198094.0270952145,21,116,674,6948515.0,60373955.0,0.17210682492581603,10.753164556962025,0.21645569620253163,0.15082382762991128,0.6056543683056925,59,3601985.0,208,13870170.0,604,50811725.0,4,UNK,231,0.028391167192429023,0.9949367088607595,0.0,0.005063291139240533
67df19a76c559082f22e8e3493fb15a25ac69033d7a3d5189b6718063b414281,64,4210270.0,65785.46875,665000.0,127258.71082456072,2,18,46,2234100.0,1976170.0,0.391304347826087,13.15625,0.046875,1.6507936507936507,2.1414400502912274,7,353845.0,15,693695.0,59,4035265.0,3,03,29,0.8571428571428571,0.953125,0.015625,0.03125
02bd654fe656f5eef75afe2efaeb9f47143f35e5b5fc0eb9dd68bdf23bf04bb9,213,519205.0,2437.582159624413,38500.0,4667.501164622852,6,49,164,196545.0,322660.0,0.29878048780487804,12.018779342723004,0.29577464788732394,0.5613207547169812,0.7547725880435688,17,22715.0,53,118820.0,182,468040.0,4,03,168,0.0,1.0,0.0,0.0
090413f56e12c3b6ad0e458ce24203d1a70a86f1b0d62a4b213bf052731c1bbb,76,893015.0,11750.197368421053,205000.0,25850.29955262659,2,25,51,230625.0,662390.0,0.49019607843137253,15.236842105263158,0.039473684210526314,1.6,1.73983534480336,6,42705.0,27,210720.0,58,639565.0,3,03,40,0.4,0.9736842105263158,0.0,0.02631578947368418
2c69de164f73f95cd2e64fe3ddb4b41f47ea1285755e40629fdbd2feeb0d62d6,167,2794220.0,16731.85628742515,115000.0,18742.80602948077,3,55,112,764125.0,2030095.0,0.49107142857142855,13.658682634730539,0.08383233532934131,0.7228915662650602,1.1991234476551278,5,70380.0,26,634295.0,118,2031245.0,3,03,112,0.0,1.0,0.0,0.0
169f03cdeeaac71a52394ebd5f178e2302bd7b262d4b799248d769551a86b951,67,477430.0,7125.820895522388,20500.0,5365.8566768528635,0,20,47,133260.0,344170.0,0.425531914893617,14.925373134328359,0.029850746268656716,1.8181818181818181,4.049345971536983,14,78100.0,18,89605.0,57,399565.0,2,03,24,0.0,1.0,0.0,0.0
0c0f03c51a8e8174c644a1d618cc5361b79f5d9518ee214c22280341ee6939a7,175,25105730.0,143461.3142857143,2250000.0,368882.95217280305,6,37,138,3803205.0,21302525.0,0.26811594202898553,8.462857142857143,0.45714285714285713,0.6839080459770115,1.8081621981581695,5,1885005.0,35,4160205.0,113,14224455.0,4,04,64,0.0,1.0,0.0,0.0
ed6803a66c9b432509ac1f2ff8430d97231b3607c2651baa1e5984ecc4b74fca,16,286755.0,17922.1875,145000.0,34420.530354656556,1,3,13,175050.0,111705.0,0.23076923076923078,12.5625,0.0,7.733333333333333,10.846109682189981,2,21000.0,8,84000.0,14,272905.0,1,03,1,1.0,1.0,0.0,0.0
22201493d4d2141dadbc6bd084649dfd2114b719865daf5c4b2eb6e10715b6df,581,55736765.0,95932.46987951807,4050000.0,331515.6819746831,11,314,267,20058565.0,35678200.0,1.1760299625468165,9.824440619621342,0.31841652323580033,0.20689655172413793,0.6124392942220972,34,7519565.0,136,17329565.0,370,40284615.0,4,UNK,251,0.0661764705882353,0.9965576592082617,0.0034423407917383822,-5.2475385148298415e-17
c9c2d2fd743e8193c0276ba0381aaf83f5b644dda80f9c09e773bcb946082690,71,371755.0,5235.985915492958,49500.0,9628.121335060954,3,19,52,231685.0,140070.0,0.36538461538461536,11.535211267605634,0.1267605633802817,1.5142857142857142,3.1565109023421027,10,75275.0,24,147680.0,62,312675.0,2,03,34,0.0,1.0,0.0,0.0
b7b103784d64bd99e0da35a37ba42f8dfdeaba89c23f232539510280730b33e5,80,1558200.0,19477.5,105000.0,20580.036566131053,2,15,65,653000.0,905200.0,0.23076923076923078,11.4,0.2,1.3291139240506329,3.4033223548405576,1,10500.0,4,137000.0,55,814350.0,2,03,70,,1.0,0.0,0.0
4be85f5237a403f9e9f596a3e97fc8e2ff04b775cc46dc45a5c46803176e3bc3,53,14530.0,274.1509433962264,3450.0,579.6739267841219,2,45,8,8365.0,6165.0,5.625,6.547169811320755,0.660377358490566,2.2115384615384617,2.899198932372888,3,435.0,6,2100.0,38,10630.0,1,03,5,0.0,1.0,0.0,0.0
b7ee4e2ff1d4916172aaf9a2e0852aa34b012b5d000e1c57527212987a5eb89d,54,131820.0,2441.1111111111113,15500.0,3283.0682937434676,2,24,30,43725.0,88095.0,0.8,13.981481481481481,0.24074074074074073,2.169811320754717,2.771668818715289,5,14380.0,22,40880.0,50,111170.0,2,03,28,0.0,1.0,0.0,0.0
82bfc9cd54c150f957319c5ac955cec87a837ed1448a6120d3014b56343d916e,658,3950590.0,6003.936170212766,80500.0,15730.788355680115,26,33,625,1988205.0,1962385.0,0.0528,14.9209726443769,0.0060790273556231,0.182648401826484,0.49399163087364567,97,690885.0,309,2034080.0,580,3604475.0,3,03,86,0.0,1.0,0.0,0.0
beb11bf216e3a67b145741b7d6777a2f8699a9d4e5bbb4d2a24109a711317c4f,104,820100000.0,7885576.923076923,27150000.0,5554645.799255828,6,0,104,0.0,820100000.0,0.0,12.846153846153847,0.0,1.0485436893203883,3.939191319360296,20,177800000.0,48,372900000.0,96,751500000.0,1,UNK,1,1.0,0.5,0.5,0.0
d6c80b3924158141d2c72058b6ef27a87563f4b32a0f9f81f5622484b32aba3e,184,2412510.0,13111.467391304348,175000.0,20206.08383114552,4,55,129,635655.0,1776855.0,0.4263565891472868,14.956521739130435,0.04891304347826087,0.644808743169399,1.0268712972042982,17,169250.0,52,613215.0,144,1793145.0,2,03,85,0.0,1.0,0.0,0.0
c832d6f990c8be869149e83d420875a79c52f30bde2782b558ebe305e78f3422,60,762030.0,12700.5,135000.0,20937.18623746689,1,10,50,421205.0,340825.0,0.2,9.5,0.3,1.9830508474576272,3.5110246339392974,1,3050.0,12,137550.0,38,554870.0,2,03,28,0.0,1.0,0.0,0.0
9d05d4497e5200f3363ab4129c047c913cc27d1e0eba31be00af5958d6f9dd25,32,361775.0,11305.46875,43500.0,13467.815779478115,0,9,23,165005.0,196770.0,0.391304347826087,11.75,0.125,3.774193548387097,3.99757991305869,2,1755.0,8,81405.0,24,267125.0,3,03,15,0.0,1.0,0.0,0.0
22e647ce1e97df3809ef33e031aaf8f2c23c5de016819905adb09b65716a42cb,144,3777350.0,26231.597222222223,105000.0,15912.703007706163,4,34,110,1394250.0,2383100.0,0.3090909090909091,14.972222222222221,0.11805555555555555,0.8111888111888111,2.017357946378776,3,53500.0,32,837000.0,105,2819300.0,2,03,102,0.0,1.0,0.0,0.0
3888c6d847e9f6907a5397ebb1cc5088b1cfd0221d08ef9dd128e5cb57e1fdaf,47,4911115.0,104491.8085106383,1050000.0,196902.77490047214,2,2,45,1355000.0,3556115.0,0.044444444444444446,11.02127659574468,0.0,2.369565217391304,3.247964803121924,7,583665.0,18,1310250.0,41,4412965.0,2,UNK,8,0.2857142857142857,1.0,0.0,0.0
a54b0fd67c53e483f2c508d5bc615818dad7e534d2de80a40d24ba1872856f3e,38,1753925.0,46155.92105263158,205000.0,58045.40668857655,2,18,20,950525.0,803400.0,0.9,15.236842105263158,0.07894736842105263,2.108108108108108,4.420808019304112,9,159400.0,19,363300.0,38,1753925.0,2,03,18,0.0,1.0,0.0,0.0
de909422f7e8184581d53fc6fb91830af8ce2269f15669d213701e66612c2ba3,45,571290.0,12695.333333333334,50500.0,16320.630119575655,0,9,36,166950.0,404340.0,0.25,14.533333333333333,0.13333333333333333,2.5,3.023166367192009,5,15765.0,12,147545.0,36,333345.0,2,03,25,0.0,1.0,0.0,0.0
abcd339b5a3a29196d7cd49ebeedcd5885017dd9adac77b354cc4238fa48724d,640,4861285.0,7595.7578125,105000.0,13861.130429654315,19,135,505,2661285.0,2200000.0,0.26732673267326734,9.578125,0.253125,0.18622848200312989,0.574863771025502,90,443780.0,184,974510.0,471,3491010.0,3,03,212,0.0,1.0,0.0,0.0
b7e99cc1846c6791788d36a6dd74605d233427f6a8afc7581e06c71fdaac8a5d,51,373540.0,7324.313725490196,42500.0,11268.291353155892,2,28,23,222675.0,150865.0,1.2173913043478262,13.509803921568627,0.21568627450980393,2.38,2.912954878203399,1,2150.0,12,72040.0,36,230830.0,3,03,27,0.0,1.0,0.0,0.0
8b3636f5c409c74ff6764b2c6a551cca6a48be1124bd03d7f0e74ad447d5d896,38,1290080.0,33949.47368421053,495000.0,81601.4776031219,1,23,15,564450.0,725630.0,1.5333333333333334,16.44736842105263,0.02631578947368421,3.027027027027027,4.278411481473562,4,207450.0,10,324400.0,34,1279680.0,1,03,1,0.0,1.0,0.0,0.0
190444b3bf68e54f5bc099f60c35690616902fb7968c32bde7d3534c7c348958,31,86845.0,2801.451612903226,17500.0,4071.193763002933,1,7,24,11300.0,75545.0,0.2916666666666667,13.161290322580646,0.1935483870967742,3.6333333333333333,3.633971261091202,5,15900.0,11,25525.0,26,69210.0,2,03,16,0.0,1.0,0.0,0.0
7e841e4f49108b0d3947811c66338cd1b5f4f1948147c5fb5d354692e46582cb,439,28124755.0,64065.50113895216,5000000.0,291298.87062652194,4,89,350,8498390.0,19626365.0,0.2542857142857143,9.455580865603645,0.3690205011389522,0.271689497716895,0.7482534198088121,50,2574695.0,115,7857140.0,342,24264190.0,3,04,125,0.0,1.0,0.0,0.0
c8e7a3fc8b1f9ad6d712bafc62a0f02a04e67f25d32e7a4d77b709458d28de88,202,533310.0,2640.1485148514853,49500.0,5825.9875192836225,5,34,168,85835.0,447475.0,0.20238095238095238,13.574257425742575,0.35148514851485146,0.5771144278606966,0.9773810064866187,15,20350.0,46,82050.0,147,428635.0,2,03,170,,1.0,0.0,0.0
ff3debcd4fc9c4220b4659a9f061bbd049a9ae3deb5997bee1c14f2e45d92b26,367,4343835.0,11836.062670299727,245000.0,24933.312631611534,5,106,261,1683375.0,2660460.0,0.4061302681992337,13.193460490463215,0.1989100817438692,0.3251366120218579,1.012671420522747,37,179135.0,158,2297405.0,312,4016655.0,4,03,191,0.8407643312101911,1.0,0.0,0.0
6c08cd429cc3ccaf9c21561ee531713cdbe547ab5c93461c6de4db96b8ce0cbc,125,11255165.0,90041.32,625000.0,150970.33333351376,7,53,72,9261050.0,1994115.0,0.7361111111111112,11.384,0.112,0.9516129032258065,2.182170317846963,13,568800.0,41,2580945.0,88,6360200.0,4,UNK,36,0.2978723404255319,0.888,0.096,0.015999999999999986
498098a474a9913fc66d613caaf722af7baced6ee6369969d72f414ff3e0c180,38,40515.0,1066.1842105263158,3050.0,949.920646906693,0,22,16,19255.0,21260.0,1.375,11.552631578947368,0.34210526315789475,3.108108108108108,4.3892785017318925,4,830.0,9,7555.0,24,26065.0,2,03,18,0.0,1.0,0.0,0.0
15920c9d0e3e03ad47be6dd8456781f887cf3191e60b4ae14c45985004106fbd,69,517690.0,7502.753623188406,125000.0,18320.196074764524,2,24,45,348795.0,168895.0,0.5333333333333333,14.130434782608695,0.07246376811594203,1.7205882352941178,2.348995264638131,7,154500.0,17,179525.0,55,408320.0,3,03,32,0.0,1.0,0.0,0.0
4623963c748ba177efd6769d64d61c5d506a40ebf438938868239bcefa208c6b,363,110690225.0,304931.74931129476,5000000.0,688106.1483354955,6,223,140,48053745.0,62636480.0,1.5928571428571427,10.730027548209366,0.256198347107438,0.3314917127071823,0.8522757452341994,26,11420400.0,90,33737940.0,259,84271900.0,3,UNK,101,0.3191489361702128,0.9421487603305785,0.005509641873278237,0.05234159779614328
469836d254bcc45d14534f9b93806fa2bc097481e92bc1e57ffd652ea11ddce4,55,721850.0,13124.545454545454,205000.0,38733.054733085904,2,10,45,300355.0,421495.0,0.2222222222222222,14.690909090909091,0.05454545454545454,2.1666666666666665,2.899251692654243,4,4605.0,13,18210.0,45,591045.0,2,03,28,0.0,1.0,0.0,0.0
1e6bd6703d22de8694cb58ce8ed707d73bc60a92d867fc30a802c0f75d1bb867,169,200130.0,1184.2011834319526,45500.0,4507.1059088477205,2,109,60,67900.0,132230.0,1.8166666666666667,13.70414201183432,0.011834319526627219,0.7023809523809523,1.4038421350827939,14,7360.0,35,23280.0,130,188980.0,3,03,40,0.0,1.0,0.0,0.0
1bfabb6927149293ec9de209ac8da1c9a06d544301e328217d1be8f680d73dfc,65,59925.0,921.9230769230769,6650.0,846.7749905467123,1,5,60,10850.0,49075.0,0.08333333333333333,6.369230769230769,0.6307692307692307,1.859375,1.9588398534409523,4,3110.0,15,14025.0,54,48045.0,2,03,63,0.0,1.0,0.0,0.0
c55e9fc9a70863e4bf2a2387976f4d46c4fe65a5901f475a02653ee1a1941528,109,12058790.0,110631.10091743119,3050000.0,412325.22897831217,2,13,96,4196655.0,7862135.0,0.13541666666666666,16.275229357798164,0.009174311926605505,1.0925925925925926,1.9068839240388238,9,503485.0,33,4570040.0,82,10285040.0,3,03,46,0.5,0.944954128440367,0.0,0.05504587155963303
102a857a2cecc47aa3d1935290ef8f7d465b89efd6b77834341e6841b14606f1,59,5623750.0,95317.79661016949,505000.0,93933.29610673289,1,40,19,4253500.0,1370250.0,2.1052631578947367,12.59322033898305,0.1864406779661017,2.0172413793103448,2.2671674831944384,3,415500.0,13,967750.0,37,3954750.0,3,04,10,0.0,1.0,0.0,0.0
645ca9f4f951e0fea3ccc6cc6a09f211ec41095f5bdd46bc16e1423ccf8af9a2,59,130625.0,2213.9830508474574,10500.0,2149.059292931528,1,13,46,36065.0,94560.0,0.2826086956521739,14.76271186440678,0.01694915254237288,2.0172413793103448,4.442582540023806,15,42635.0,37,85640.0,56,121975.0,2,03,38,0.0,1.0,0.0,0.0
fce158a93b995888ea73edd9b3ac7f17f07ce29874e4c29dea171de1388a9c52,441,2006930.0,4550.861678004535,50500.0,6151.711065106262,10,98,343,787075.0,1219855.0,0.2857142857142857,14.503401360544217,0.10430839002267574,0.2727272727272727,0.5079610572681464,61,159745.0,142,366770.0,314,1196960.0,3,03,303,0.39344262295081966,0.9727891156462585,0.022675736961451247,0.00453514739229028
e9cc463d934275fe3733fa486f72ddc58582019e2ae910de8a4645bdfd54a129,436,2949450.0,6764.793577981652,155000.0,15156.417182051055,15,91,345,1637200.0,1312250.0,0.263768115942029,10.614678899082568,0.3577981651376147,0.2735632183908046,0.8856848960265303,28,207550.0,117,749550.0,284,2088600.0,3,03,342,0.0,1.0,0.0,0.0
61e9e4dc596a0293df3122aac853868d9a63ec4fff39b1527fd2690651ac3b95,89,989355.0,11116.348314606741,205000.0,32462.76801587163,3,52,37,33210.0,956145.0,1.4054054054054055,14.786516853932584,0.15730337078651685,1.3636363636363635,1.5842748671724998,6,13760.0,25,309780.0,71,690395.0,2,UNK,77,0.0,1.0,0.0,0.0
e431d639a1cf87e9535966a3b1d9b04c745d4dd1006028b29a4b9f8c36fc86f0,591,70158230.0,118711.04906937394,5000000.0,289571.3298342025,19,67,524,7737600.0,62420630.0,0.12786259541984732,6.1725888324873095,0.7884940778341794,0.2016949152542373,0.8494463442882634,8,286345.0,148,12688890.0,444,50936790.0,4,UNK,240,0.0,1.0,0.0,0.0
bdd430f468decf356c61fb30a2a7136201d3e908aa4d500a778b491d3be8bda7,230,1284660.0,5585.478260869565,30500.0,5653.8913435662025,11,58,172,539890.0,744770.0,0.3372093023255814,17.256521739130434,0.07391304347826087,0.5109170305676856,1.1223852800041936,38,176000.0,81,437070.0,200,1148405.0,3,03,149,0.0,1.0,0.0,0.0
d6aeccb4970dbce3c29c59dc173c07db131b198afcd7a5647017f014afac1866,205,1089425.0,5314.268292682927,50500.0,5679.887456702239,8,34,171,161830.0,927595.0,0.19883040935672514,13.663414634146342,0.02926829268292683,0.5833333333333334,1.1902380714238086,8,48300.0,21,93070.0,177,1020750.0,2,03,159,0.0,1.0,0.0,0.0
ddfa604229784fc89ffbcb95201888c2b08d41e5490771885c86f0ee5ab668bc,688,101064925.0,146896.6933139535,5000000.0,592332.9009145328,18,73,615,42060645.0,59004280.0,0.11869918699186992,11.056686046511627,0.22674418604651161,0.17321688500727803,0.7601472838375204,48,25852650.0,162,41531025.0,572,83952875.0,3,04,192,0.03294117647058824,1.0,0.0,0.0
